dataset_id,analysis,status,n_samples,n_unique_ages,design_rank,design_full_rank,residual_df
46516,spatial_spd,estimated,14,14,7,TRUE,7
26606,spatial_spd,estimated,14,14,7,TRUE,7
22322,spatial_spd,estimated,13,13,7,TRUE,6
48966,spatial_spd,estimated,14,14,7,TRUE,7
3565,spatial_spd,estimated,14,14,7,TRUE,7
3032,spatial_spd,estimated,14,14,7,TRUE,7
4383,spatial_spd,estimated,14,14,7,TRUE,7
45377,spatial_spd,estimated,13,13,7,TRUE,6
236,spatial_spd,estimated,14,14,7,TRUE,7
4170,spatial_spd,estimated,14,14,7,TRUE,7
25372,spatial_spd,estimated,13,13,7,TRUE,6
2642,spatial_spd,insufficient_residual_df,10,10,7,TRUE,3
46544,spatial_spd,estimated,14,14,7,TRUE,7
982,spatial_spd,estimated,14,14,7,TRUE,7
13053,spatial_spd,missing_predictor_group,13,13,6,TRUE,7
26448,spatial_spd,estimated,14,14,7,TRUE,7
4042,spatial_spd,estimated,13,13,7,TRUE,6
3487,spatial_spd,estimated,13,13,7,TRUE,6
21675,spatial_spd,estimated,13,13,7,TRUE,6
26499,spatial_spd,estimated,14,14,7,TRUE,7
24840,spatial_spd,estimated,13,13,7,TRUE,6
2395,spatial_spd,estimated,12,12,7,TRUE,5
45347,spatial_spd,estimated,14,14,7,TRUE,7
15922,spatial_spd,estimated,14,14,7,TRUE,7
1010,spatial_spd,estimated,13,13,7,TRUE,6
4542,spatial_spd,estimated,14,14,7,TRUE,7
14944,spatial_spd,estimated,13,13,7,TRUE,6
17402,spatial_spd,estimated,13,13,7,TRUE,6
234,spatial_spd,estimated,14,14,7,TRUE,7
16081,spatial_spd,estimated,14,14,7,TRUE,7
41421,spatial_spd,estimated,14,14,7,TRUE,7
1451,spatial_spd,estimated,13,13,7,TRUE,6
785,spatial_spd,estimated,14,14,7,TRUE,7
2311,spatial_spd,estimated,14,14,7,TRUE,7
3900,spatial_spd,estimated,13,13,7,TRUE,6
2053,spatial_spd,estimated,14,14,7,TRUE,7
1149,spatial_spd,estimated,14,14,7,TRUE,7
46998,spatial_spd,estimated,14,14,7,TRUE,7
46490,spatial_spd,estimated,14,14,7,TRUE,7
210,spatial_spd,estimated,14,14,7,TRUE,7
4136,spatial_spd,estimated,14,14,7,TRUE,7
45192,spatial_spd,estimated,14,14,7,TRUE,7
15232,spatial_spd,estimated,14,14,7,TRUE,7
41467,spatial_spd,estimated,13,13,7,TRUE,6
3938,spatial_spd,estimated,13,13,7,TRUE,6
2619,spatial_spd,estimated,14,14,7,TRUE,7
22988,spatial_spd,estimated,13,13,7,TRUE,6
46803,spatial_spd,estimated,13,13,7,TRUE,6
24195,spatial_spd,estimated,13,13,7,TRUE,6
306,spatial_spd,estimated,14,14,7,TRUE,7
847,spatial_spd,estimated,14,14,7,TRUE,7
45322,spatial_spd,estimated_residual_temporal_dependence,13,13,7,TRUE,6
18108,spatial_spd,estimated,14,14,7,TRUE,7
42745,spatial_spd,estimated,14,14,7,TRUE,7
17689,spatial_spd,estimated,14,14,7,TRUE,7
340,spatial_spd,estimated,14,14,7,TRUE,7
40634,spatial_spd,estimated,14,14,7,TRUE,7
15970,spatial_spd,estimated,14,14,7,TRUE,7
17391,spatial_spd,estimated,14,14,7,TRUE,7
4539,spatial_spd,estimated,14,14,7,TRUE,7
25285,spatial_spd,estimated,14,14,7,TRUE,7
20293,spatial_spd,estimated,14,14,7,TRUE,7
4251,spatial_spd,estimated,14,14,7,TRUE,7
2580,spatial_spd,estimated,13,13,7,TRUE,6
41532,spatial_spd,missing_predictor_group,11,11,6,TRUE,5
22773,spatial_spd,estimated,13,13,7,TRUE,6
784,spatial_spd,estimated,14,14,7,TRUE,7
4472,spatial_spd,estimated,14,14,7,TRUE,7
45383,spatial_spd,estimated,13,13,7,TRUE,6
40564,spatial_spd,estimated,14,14,7,TRUE,7
13051,spatial_spd,estimated,13,13,7,TRUE,6
1635,spatial_spd,estimated,12,12,7,TRUE,5
4197,spatial_spd,estimated,14,14,7,TRUE,7
15783,spatial_spd,estimated,13,13,7,TRUE,6
4373,spatial_spd,estimated,14,14,7,TRUE,7
45722,spatial_spd,estimated,14,14,7,TRUE,7
2270,spatial_spd,estimated,13,13,7,TRUE,6
15201,spatial_spd,estimated,14,14,7,TRUE,7
260,spatial_spd,estimated,14,14,7,TRUE,7
21539,spatial_spd,estimated,13,13,7,TRUE,6
15829,spatial_spd,estimated,14,14,7,TRUE,7
14799,spatial_spd,estimated,13,13,7,TRUE,6
