dataset_id,analysis,fraction,adjusted_r_squared
46516,spatial_spd,pure_human,-0.05016358991162595
46516,spatial_spd,pure_climate,0.15629122303836496
46516,spatial_spd,pure_time,0.1833708551565909
46516,spatial_spd,shared,0.16679237760665766
46516,spatial_spd,total_explained,0.4562908658899876
46516,spatial_spd,unexplained,0.5437091341100124
26606,spatial_spd,pure_human,0.0549234147175951
26606,spatial_spd,pure_climate,0.21294508538426826
26606,spatial_spd,pure_time,0.033288430140980596
26606,spatial_spd,shared,0.40376858704416707
26606,spatial_spd,total_explained,0.704925517287011
26606,spatial_spd,unexplained,0.295074482712989
22322,spatial_spd,pure_human,-0.09041904408524726
22322,spatial_spd,pure_climate,-0.12445237796614905
22322,spatial_spd,pure_time,0.08405272422819676
22322,spatial_spd,shared,0.12356883060393242
22322,spatial_spd,total_explained,-0.007249867219267125
22322,spatial_spd,unexplained,1.0072498672192671
48966,spatial_spd,pure_human,-0.030790012947678247
48966,spatial_spd,pure_climate,0.12476934719213639
48966,spatial_spd,pure_time,0.115556840559915
48966,spatial_spd,shared,0.41132610631899336
48966,spatial_spd,total_explained,0.6208622811233665
48966,spatial_spd,unexplained,0.3791377188766335
3565,spatial_spd,pure_human,0.013367684409090641
3565,spatial_spd,pure_climate,0.21876079922485625
3565,spatial_spd,pure_time,-2.4377886849891173e-4
3565,spatial_spd,shared,0.5483103663539395
3565,spatial_spd,total_explained,0.7801950711193875
3565,spatial_spd,unexplained,0.21980492888061254
3032,spatial_spd,pure_human,0.11792141914721666
3032,spatial_spd,pure_climate,-7.757668676384721e-4
3032,spatial_spd,pure_time,0.24085236652401731
3032,spatial_spd,shared,0.1985532675766416
3032,spatial_spd,total_explained,0.5565512863802371
3032,spatial_spd,unexplained,0.4434487136197629
4383,spatial_spd,pure_human,0.1520516513922442
4383,spatial_spd,pure_climate,0.4747466479983894
4383,spatial_spd,pure_time,0.6392302154396413
4383,spatial_spd,shared,-0.5345054250147491
4383,spatial_spd,total_explained,0.7315230898155258
4383,spatial_spd,unexplained,0.26847691018447417
45377,spatial_spd,pure_human,-0.05968062508480032
45377,spatial_spd,pure_climate,0.14372818102671547
45377,spatial_spd,pure_time,0.015098929353810187
45377,spatial_spd,shared,0.17427327344801358
45377,spatial_spd,total_explained,0.2734197587437389
45377,spatial_spd,unexplained,0.7265802412562611
236,spatial_spd,pure_human,0.11925950788367579
236,spatial_spd,pure_climate,0.40952248722320683
236,spatial_spd,pure_time,0.2563972194571631
236,spatial_spd,shared,-0.2463834370854
236,spatial_spd,total_explained,0.5387957774786457
236,spatial_spd,unexplained,0.4612042225213543
4170,spatial_spd,pure_human,-0.001168011857127782
4170,spatial_spd,pure_climate,0.06600446249385794
4170,spatial_spd,pure_time,-0.03878593607774716
4170,spatial_spd,shared,0.4288267000454793
4170,spatial_spd,total_explained,0.4548772146044623
4170,spatial_spd,unexplained,0.5451227853955377
25372,spatial_spd,pure_human,0.015251199754578892
25372,spatial_spd,pure_climate,0.08333889419240359
25372,spatial_spd,pure_time,0.15535442296541857
25372,spatial_spd,shared,0.3679943683657112
25372,spatial_spd,total_explained,0.6219388852781123
25372,spatial_spd,unexplained,0.37806111472188775
46544,spatial_spd,pure_human,0.1194757511932133
46544,spatial_spd,pure_climate,0.32353642316686915
46544,spatial_spd,pure_time,0.1685929806336508
46544,spatial_spd,shared,-0.045031784828045374
46544,spatial_spd,total_explained,0.5665733701656879
46544,spatial_spd,unexplained,0.4334266298343121
982,spatial_spd,pure_human,0.004267900276288206
982,spatial_spd,pure_climate,0.014889164076770545
982,spatial_spd,pure_time,0.10394876818498666
982,spatial_spd,shared,0.4201977914741515
982,spatial_spd,total_explained,0.5433036240121969
982,spatial_spd,unexplained,0.4566963759878031
26448,spatial_spd,pure_human,0.06152643867203633
26448,spatial_spd,pure_climate,0.05396674311394456
26448,spatial_spd,pure_time,0.2528200888931892
26448,spatial_spd,shared,0.26536987660345046
26448,spatial_spd,total_explained,0.6336831472826205
26448,spatial_spd,unexplained,0.36631685271737946
4042,spatial_spd,pure_human,0.007479879991812988
4042,spatial_spd,pure_climate,0.13249212351244044
4042,spatial_spd,pure_time,0.1134081719593959
4042,spatial_spd,shared,0.48891746189258134
4042,spatial_spd,total_explained,0.7422976373562307
4042,spatial_spd,unexplained,0.25770236264376933
3487,spatial_spd,pure_human,-0.05070836703853476
3487,spatial_spd,pure_climate,-0.010755022343760134
3487,spatial_spd,pure_time,0.022083764085011892
3487,spatial_spd,shared,0.33597350575838625
3487,spatial_spd,total_explained,0.29659388046110324
3487,spatial_spd,unexplained,0.7034061195388968
21675,spatial_spd,pure_human,-0.019385110117062787
21675,spatial_spd,pure_climate,0.005633095530619858
21675,spatial_spd,pure_time,0.08426132826780375
21675,spatial_spd,shared,0.589469791167234
21675,spatial_spd,total_explained,0.6599791048485948
21675,spatial_spd,unexplained,0.3400208951514052
26499,spatial_spd,pure_human,0.0878850690712153
26499,spatial_spd,pure_climate,-0.08641662655427851
26499,spatial_spd,pure_time,-0.02962649907278536
26499,spatial_spd,shared,0.17128601110938158
26499,spatial_spd,total_explained,0.143127954553533
26499,spatial_spd,unexplained,0.856872045446467
24840,spatial_spd,pure_human,0.08875047084244014
24840,spatial_spd,pure_climate,-0.029320335192208113
24840,spatial_spd,pure_time,0.06937672594538247
24840,spatial_spd,shared,0.35485951764148205
