analysis,region,age,predictor,Unique,Average.share,individual,I.perc(%),model_profile,zero_individual,zero_total,allocation,status,n_samples,selection_status,n_candidates,n_selected,global_p_value,spatial_adjusted_r_squared
temporal_spd,Asia,2000,human,0.0165,-0.002100000000000001,0.0144,11.16,human_climate_space,0.0144,0.129,0.11162790697674418,spatial_model_estimated,174,selected,42,1,0.001,0.12075957282716465
temporal_spd,Asia,2000,climate,0.0898,-0.009900000000000006,0.0799,61.94,human_climate_space,0.0799,0.129,0.6193798449612403,spatial_model_estimated,174,selected,42,1,0.001,0.12075957282716465
temporal_spd,Asia,2000,space,0.0309,0.0038000000000000013,0.0347,26.9,human_climate_space,0.0347,0.129,0.2689922480620155,spatial_model_estimated,174,selected,42,1,0.001,0.12075957282716465
temporal_spd,Asia,2500,human,0.0036,-7.999999999999999e-4,0.0028,2.19,human_climate_space,0.0028,0.1278,0.02190923317683881,spatial_model_estimated,171,selected,40,1,0.001,0.1380831151354629
temporal_spd,Asia,2500,climate,0.0953,-0.004900000000000002,0.0904,70.62,human_climate_space,0.0904,0.1278,0.7073552425665102,spatial_model_estimated,171,selected,40,1,0.001,0.1380831151354629
temporal_spd,Asia,2500,space,0.0334,0.0011999999999999997,0.0346,27.03,human_climate_space,0.0346,0.1278,0.27073552425665104,spatial_model_estimated,171,selected,40,1,0.001,0.1380831151354629
temporal_spd,Asia,3000,human,0.0044,-0.0014000000000000002,0.003,2.48,human_climate_space,0.003,0.12129999999999999,0.024732069249793903,spatial_model_estimated,174,selected,41,1,0.001,0.12461216974957345
temporal_spd,Asia,3000,climate,0.0839,-3.000000000000086e-4,0.0836,69.09,human_climate_space,0.0836,0.12129999999999999,0.6892003297609234,spatial_model_estimated,174,selected,41,1,0.001,0.12461216974957345
temporal_spd,Asia,3000,space,0.0297,0.005000000000000001,0.0347,28.68,human_climate_space,0.0347,0.12129999999999999,0.2860676009892828,spatial_model_estimated,174,selected,41,1,0.001,0.12461216974957345
temporal_spd,Asia,3500,human,-2e-4,0.0059,0.0057,6.33,human_climate_space,0.0057,0.09,0.06333333333333334,no_spatial_terms_selected,172,no_terms_selected,40,0,0.006,0.0940699312956399
temporal_spd,Asia,3500,climate,0.0784,0.0059000000000000025,0.0843,93.67,human_climate_space,0.0843,0.09,0.9366666666666666,no_spatial_terms_selected,172,no_terms_selected,40,0,0.006,0.0940699312956399
temporal_spd,Asia,3500,space,NA,NA,0,NA,human_climate_space,0,0.09,0,no_spatial_terms_selected,172,no_terms_selected,40,0,0.006,0.0940699312956399
temporal_spd,Asia,4000,human,0.0042,0.0012000000000000005,0.0054,7.11,human_climate_space,0.0054,0.0759,0.07114624505928854,no_spatial_terms_selected,174,no_terms_selected,41,0,0.001,0.11238031252806413
temporal_spd,Asia,4000,climate,0.0693,0.0011999999999999927,0.0705,92.76,human_climate_space,0.0705,0.0759,0.9288537549407114,no_spatial_terms_selected,174,no_terms_selected,41,0,0.001,0.11238031252806413
temporal_spd,Asia,4000,space,NA,NA,0,NA,human_climate_space,0,0.0759,0,no_spatial_terms_selected,174,no_terms_selected,41,0,0.001,0.11238031252806413
temporal_spd,Asia,4500,human,0.0032,0.0117,0.0149,11.73,human_climate_space,0.0149,0.12739999999999999,0.11695447409733126,spatial_model_estimated,171,selected,40,1,0.001,0.13699780038930964
temporal_spd,Asia,4500,climate,0.0617,0.0119,0.0736,57.95,human_climate_space,0.0736,0.12739999999999999,0.5777080062794349,spatial_model_estimated,171,selected,40,1,0.001,0.13699780038930964
temporal_spd,Asia,4500,space,0.0407,-0.001800000000000003,0.0389,30.63,human_climate_space,0.0389,0.12739999999999999,0.3053375196232339,spatial_model_estimated,171,selected,40,1,0.001,0.13699780038930964
temporal_spd,Asia,5000,human,0.0129,0.0112,0.0241,21.52,human_climate_space,0.0241,0.1121,0.2149866190900981,spatial_model_estimated,174,selected,40,1,0.001,0.11044248084865049
temporal_spd,Asia,5000,climate,0.0524,0.014700000000000005,0.0671,59.91,human_climate_space,0.0671,0.1121,0.5985727029438002,spatial_model_estimated,174,selected,40,1,0.001,0.11044248084865049
temporal_spd,Asia,5000,space,0.0256,-0.004700000000000003,0.0209,18.66,human_climate_space,0.0209,0.1121,0.18644067796610167,spatial_model_estimated,174,selected,40,1,0.001,0.11044248084865049
temporal_spd,Asia,5500,human,-0.0029,0.007699999999999999,0.0048,3.87,human_climate_space,0.0048,0.1239,0.038740920096852295,spatial_model_estimated,173,selected,41,1,0.001,0.105741927393177
temporal_spd,Asia,5500,climate,0.0812,0.0063,0.0875,70.56,human_climate_space,0.0875,0.1239,0.7062146892655367,spatial_model_estimated,173,selected,41,1,0.001,0.105741927393177
temporal_spd,Asia,5500,space,0.0318,-1.999999999999988e-4,0.0316,25.48,human_climate_space,0.0316,0.1239,0.25504439063761103,spatial_model_estimated,173,selected,41,1,0.001,0.105741927393177
temporal_spd,Asia,6000,human,0.0103,0.0142,0.0245,22.9,human_climate_space,0.0245,0.10700000000000001,0.2289719626168224,no_spatial_terms_selected,175,no_terms_selected,41,0,0.005,0.08107982886993315
temporal_spd,Asia,6000,climate,0.0683,0.014200000000000004,0.0825,77.1,human_climate_space,0.0825,0.10700000000000001,0.7710280373831775,no_spatial_terms_selected,175,no_terms_selected,41,0,0.005,0.08107982886993315
temporal_spd,Asia,6000,space,NA,NA,0,NA,human_climate_space,0,0.10700000000000001,0,no_spatial_terms_selected,175,no_terms_selected,41,0,0.005,0.08107982886993315
temporal_spd,Asia,6500,human,-0.0024,0.009,0.0066,6.23,human_climate_space,0.0066,0.10619999999999999,0.062146892655367235,no_spatial_terms_selected,163,no_spatial_signal,39,0,0.15,0.03080210964138419
temporal_spd,Asia,6500,climate,0.0905,0.009099999999999997,0.0996,93.96,human_climate_space,0.0996,0.10619999999999999,0.9378531073446328,no_spatial_terms_selected,163,no_spatial_signal,39,0,0.15,0.03080210964138419
temporal_spd,Asia,6500,space,NA,NA,0,NA,human_climate_space,0,0.10619999999999999,0,no_spatial_terms_selected,163,no_spatial_signal,39,0,0.15,0.03080210964138419
temporal_spd,Asia,7000,human,0.0031,0.0094,0.0125,10.25,human_climate_space,0.0125,0.12179999999999999,0.1026272577996716,no_spatial_terms_selected,160,no_spatial_signal,38,0,0.142,0.03162853494230555
temporal_spd,Asia,7000,climate,0.0999,0.009399999999999992,0.1093,89.59,human_climate_space,0.1093,0.12179999999999999,0.8973727422003285,no_spatial_terms_selected,160,no_spatial_signal,38,0,0.142,0.03162853494230555
temporal_spd,Asia,7000,space,NA,NA,0,NA,human_climate_space,0,0.12179999999999999,0,no_spatial_terms_selected,160,no_spatial_signal,38,0,0.142,0.03162853494230555
temporal_spd,Asia,7500,human,0.0064,0.015700000000000002,0.0221,15.24,human_climate_space,0.0221,0.1454,0.15199449793672629,no_spatial_terms_selected,153,no_spatial_signal,36,0,0.093,0.040278960109085826
temporal_spd,Asia,7500,climate,0.1077,0.015600000000000003,0.1233,85.03,human_climate_space,0.1233,0.1454,0.8480055020632737,no_spatial_terms_selected,153,no_spatial_signal,36,0,0.093,0.040278960109085826
temporal_spd,Asia,7500,space,NA,NA,0,NA,human_climate_space,0,0.1454,0,no_spatial_terms_selected,153,no_spatial_signal,36,0,0.093,0.040278960109085826
temporal_spd,Asia,8000,human,0.0011,0.008199999999999999,0.0093,5.22,human_climate_space,0.0093,0.17779999999999999,0.05230596175478065,spatial_model_estimated,150,selected,37,1,0.003,0.09188462368595773
temporal_spd,Asia,8000,climate,0.1354,0.011800000000000005,0.1472,82.7,human_climate_space,0.1472,0.17779999999999999,0.8278965129358831,spatial_model_estimated,150,selected,37,1,0.003,0.09188462368595773
temporal_spd,Asia,8000,space,0.0197,0.0016000000000000007,0.0213,11.97,human_climate_space,0.0213,0.17779999999999999,0.11979752530933634,spatial_model_estimated,150,selected,37,1,0.003,0.09188462368595773
temporal_spd,Asia,8500,human,-5e-4,0.0052,0.0047,2.66,human_climate_space,0.0047,0.1774,0.02649379932356257,spatial_model_estimated,138,selected,32,1,0.007,0.08408268531077878
temporal_spd,Asia,8500,climate,0.1579,0.0021999999999999797,0.1601,90.45,human_climate_space,0.1601,0.1774,0.9024802705749717,spatial_model_estimated,138,selected,32,1,0.007,0.08408268531077878
temporal_spd,Asia,8500,space,0.0156,-0.002999999999999999,0.0126,7.12,human_climate_space,0.0126,0.1774,0.07102593010146561,spatial_model_estimated,138,selected,32,1,0.007,0.08408268531077878
temporal_spd,Europe,2000,human,0.0029,0,0.0029,1.61,human_climate_space,0.0029,0.18030000000000002,0.016084303937881305,spatial_model_estimated,389,selected,82,7,0.001,0.22063898842263452
temporal_spd,Europe,2000,climate,0.0536,0.021899999999999996,0.0755,41.94,human_climate_space,0.0755,0.18030000000000002,0.41874653355518576,spatial_model_estimated,389,selected,82,7,0.001,0.22063898842263452
temporal_spd,Europe,2000,space,0.0796,0.0223,0.1019,56.61,human_climate_space,0.1019,0.18030000000000002,0.5651691625069328,spatial_model_estimated,389,selected,82,7,0.001,0.22063898842263452
temporal_spd,Europe,2500,human,0.012,-0.0049,0.0071,4.06,human_climate_space,0.0071,0.175,0.04057142857142858,spatial_model_estimated,392,selected,83,8,0.001,0.22048401091807823
temporal_spd,Europe,2500,climate,0.0441,0.0172,0.0613,35.03,human_climate_space,0.0613,0.175,0.3502857142857143,spatial_model_estimated,392,selected,83,8,0.001,0.22048401091807823
temporal_spd,Europe,2500,space,0.09,0.016600000000000004,0.1066,60.91,human_climate_space,0.1066,0.175,0.6091428571428572,spatial_model_estimated,392,selected,83,8,0.001,0.22048401091807823
temporal_spd,Europe,3000,human,0.0039,0.003,0.0069,4.79,human_climate_space,0.0069,0.1442,0.0478502080443828,spatial_model_estimated,387,selected,81,7,0.001,0.21957886683704675
temporal_spd,Europe,3000,climate,0.0376,0.011699999999999995,0.0493,34.24,human_climate_space,0.0493,0.1442,0.3418862690707351,spatial_model_estimated,387,selected,81,7,0.001,0.21957886683704675
temporal_spd,Europe,3000,space,0.0822,0.0058,0.088,61.11,human_climate_space,0.088,0.1442,0.6102635228848821,spatial_model_estimated,387,selected,81,7,0.001,0.21957886683704675
temporal_spd,Europe,3500,human,0.0013,0.007200000000000001,0.0085,4.8,human_climate_space,0.0085,0.1774,0.047914317925591886,spatial_model_estimated,382,selected,80,7,0.001,0.280140056687076
temporal_spd,Europe,3500,climate,0.0545,0.004499999999999997,0.059,33.33,human_climate_space,0.059,0.1774,0.33258173618940245,spatial_model_estimated,382,selected,80,7,0.001,0.280140056687076
temporal_spd,Europe,3500,space,0.1122,-0.0022999999999999965,0.1099,62.09,human_climate_space,0.1099,0.1774,0.6195039458850056,spatial_model_estimated,382,selected,80,7,0.001,0.280140056687076
temporal_spd,Europe,4000,human,0.002,0.006,0.008,4.57,human_climate_space,0.008,0.1752,0.04566210045662101,spatial_model_estimated,387,selected,81,10,0.001,0.2476169874237757
temporal_spd,Europe,4000,climate,0.0619,0.009599999999999997,0.0715,40.86,human_climate_space,0.0715,0.1752,0.4081050228310502,spatial_model_estimated,387,selected,81,10,0.001,0.2476169874237757
temporal_spd,Europe,4000,space,0.0966,-9.000000000000119e-4,0.0957,54.69,human_climate_space,0.0957,0.1752,0.5462328767123288,spatial_model_estimated,387,selected,81,10,0.001,0.2476169874237757
temporal_spd,Europe,4500,human,-0.0012,0.0027,0.0015,0.79,human_climate_space,0.0015,0.191,0.007853403141361256,spatial_model_estimated,388,selected,81,10,0.001,0.261419014700356
temporal_spd,Europe,4500,climate,0.0462,0.018900000000000007,0.0651,34.08,human_climate_space,0.0651,0.191,0.34083769633507854,spatial_model_estimated,388,selected,81,10,0.001,0.261419014700356
temporal_spd,Europe,4500,space,0.1069,0.0175,0.1244,65.13,human_climate_space,0.1244,0.191,0.6513089005235602,spatial_model_estimated,388,selected,81,10,0.001,0.261419014700356
temporal_spd,Europe,5000,human,-1e-4,0.0031,0.003,1.88,human_climate_space,0.003,0.1599,0.01876172607879925,spatial_model_estimated,382,selected,80,8,0.001,0.2535578495974502
temporal_spd,Europe,5000,climate,0.0497,0.006999999999999999,0.0567,35.44,human_climate_space,0.0567,0.1599,0.3545966228893058,spatial_model_estimated,382,selected,80,8,0.001,0.2535578495974502
temporal_spd,Europe,5000,space,0.0935,0.006699999999999998,0.1002,62.62,human_climate_space,0.1002,0.1599,0.626641651031895,spatial_model_estimated,382,selected,80,8,0.001,0.2535578495974502
temporal_spd,Europe,5500,human,3e-4,2.0000000000000004e-4,5e-4,0.26,human_climate_space,5e-4,0.19569999999999999,0.002554931016862545,spatial_model_estimated,385,selected,82,12,0.001,0.2732786145073963
temporal_spd,Europe,5500,climate,0.0595,0.012300000000000005,0.0718,36.63,human_climate_space,0.0718,0.19569999999999999,0.36688809402146144,spatial_model_estimated,385,selected,82,12,0.001,0.2732786145073963
temporal_spd,Europe,5500,space,0.1109,0.012499999999999997,0.1234,62.96,human_climate_space,0.1234,0.19569999999999999,0.6305569749616761,spatial_model_estimated,385,selected,82,12,0.001,0.2732786145073963
temporal_spd,Europe,6000,human,0.0154,7.999999999999986e-4,0.0162,9.64,human_climate_space,0.0162,0.1683,0.0962566844919786,spatial_model_estimated,387,selected,81,5,0.001,0.2302314591110951
temporal_spd,Europe,6000,climate,0.0541,0.011199999999999995,0.0653,38.87,human_climate_space,0.0653,0.1683,0.3879976232917409,spatial_model_estimated,387,selected,81,5,0.001,0.2302314591110951
temporal_spd,Europe,6000,space,0.0852,0.0016000000000000042,0.0868,51.67,human_climate_space,0.0868,0.1683,0.5157456922162804,spatial_model_estimated,387,selected,81,5,0.001,0.2302314591110951
temporal_spd,Europe,6500,human,0.0242,0.008,0.0322,18.72,human_climate_space,0.0322,0.1721,0.1871005229517722,spatial_model_estimated,380,selected,80,7,0.001,0.2661693972724397
temporal_spd,Europe,6500,climate,0.031,0.015100000000000002,0.0461,26.8,human_climate_space,0.0461,0.1721,0.26786751888436955,spatial_model_estimated,380,selected,80,7,0.001,0.2661693972724397
temporal_spd,Europe,6500,space,0.0909,0.0029,0.0938,54.53,human_climate_space,0.0938,0.1721,0.5450319581638582,spatial_model_estimated,380,selected,80,7,0.001,0.2661693972724397
temporal_spd,Europe,7000,human,0.0103,0.0068000000000000005,0.0171,11.03,human_climate_space,0.0171,0.1549,0.1103938024531956,spatial_model_estimated,388,selected,83,4,0.001,0.2467024395689177
temporal_spd,Europe,7000,climate,0.0409,0.013900000000000003,0.0548,35.35,human_climate_space,0.0548,0.1549,0.3537766300839251,spatial_model_estimated,388,selected,83,4,0.001,0.2467024395689177
temporal_spd,Europe,7000,space,0.075,0.008000000000000007,0.083,53.55,human_climate_space,0.083,0.1549,0.5358295674628792,spatial_model_estimated,388,selected,83,4,0.001,0.2467024395689177
temporal_spd,Europe,7500,human,0.0394,0.009600000000000004,0.049,27.07,human_climate_space,0.049,0.18109999999999998,0.2705687465488681,spatial_model_estimated,383,selected,80,6,0.001,0.2287295815518734
temporal_spd,Europe,7500,climate,0.0511,0.0104,0.0615,33.98,human_climate_space,0.0615,0.18109999999999998,0.3395913859745997,spatial_model_estimated,383,selected,80,6,0.001,0.2287295815518734
temporal_spd,Europe,7500,space,0.0649,0.005699999999999997,0.0706,39.01,human_climate_space,0.0706,0.18109999999999998,0.3898398674765323,spatial_model_estimated,383,selected,80,6,0.001,0.2287295815518734
temporal_spd,Europe,8000,human,0.008,0.003299999999999999,0.0113,6.98,human_climate_space,0.0113,0.1618,0.06983930778739184,spatial_model_estimated,376,selected,78,6,0.001,0.19934820838210798
temporal_spd,Europe,8000,climate,0.0726,0.0020000000000000018,0.0746,46.05,human_climate_space,0.0746,0.1618,0.4610630407911001,spatial_model_estimated,376,selected,78,6,0.001,0.19934820838210798
