analysis,region,age,n_models,climate,human,importance_balance
temporal_events,Asia,500,1,0.5263929618768328,0.4736070381231671,-0.0527859237536657
temporal_events,Asia,1000,1,0.45735607675906187,0.5426439232409382,0.08528784648187637
temporal_events,Asia,1500,1,0.40046475600309844,0.5995352439969016,0.19907048799380317
temporal_events,Asia,2000,1,0.4819168173598553,0.5180831826401446,0.036166365280289325
temporal_events,Asia,2500,1,0.611577964519141,0.38842203548085896,-0.22315592903828207
temporal_events,Asia,3000,1,0.6088105726872247,0.3911894273127754,-0.21762114537444932
temporal_events,Asia,3500,1,0.896586345381526,0.10341365461847389,-0.7931726907630522
temporal_events,Asia,4000,1,0.7109947643979058,0.28900523560209423,-0.42198952879581153
temporal_events,Asia,4500,1,0.8177920685959271,0.18220793140407288,-0.6355841371918542
temporal_events,Asia,5000,1,0.7758444216990789,0.22415557830092117,-0.5516888433981577
temporal_events,Asia,5500,1,0.8789625360230547,0.12103746397694524,-0.7579250720461095
temporal_events,Asia,6000,1,0.9444444444444444,0.05555555555555555,-0.8888888888888888
temporal_events,Asia,6500,1,0.9772520473157416,0.02274795268425842,-0.9545040946314831
temporal_events,Asia,7000,1,0.9256134969325153,0.07438650306748465,-0.8512269938650306
temporal_events,Asia,7500,1,0.9466271312083023,0.053372868791697545,-0.8932542624166048
temporal_events,Asia,8000,1,0.9464822609741431,0.05351773902585688,-0.8929645219482862
temporal_events,Asia,8500,1,0.9292343387470998,0.07076566125290024,-0.8584686774941996
temporal_events,Europe,500,1,0.8220858895705522,0.17791411042944785,-0.6441717791411044
temporal_events,Europe,1000,1,0.8441455696202531,0.1558544303797468,-0.6882911392405063
temporal_events,Europe,1500,1,0.8172323759791122,0.18276762402088773,-0.6344647519582245
temporal_events,Europe,2000,1,0.7907407407407407,0.20925925925925926,-0.5814814814814815
temporal_events,Europe,2500,1,0.8474374255065553,0.15256257449344457,-0.6948748510131108
temporal_events,Europe,3000,1,0.855944055944056,0.14405594405594407,-0.711888111888112
temporal_events,Europe,3500,1,0.6309255079006771,0.3690744920993228,-0.26185101580135434
temporal_events,Europe,4000,1,0.9299781181619255,0.0700218818380744,-0.8599562363238511
temporal_events,Europe,4500,1,0.9507278835386338,0.04927211646136618,-0.9014557670772676
temporal_events,Europe,5000,1,0.8863636363636365,0.11363636363636363,-0.7727272727272728
temporal_events,Europe,5500,1,0.9695603156708005,0.030439684329199555,-0.939120631341601
temporal_events,Europe,6000,1,0.7397129186602871,0.2602870813397129,-0.4794258373205742
