analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Asia,500,climate,signed,0.0718,0.136,0.5279411764705882,1
temporal_events,Asia,500,human,signed,0.0646,0.136,0.475,1
temporal_events,Asia,1000,climate,signed,0.043,0.094,0.45744680851063824,1
temporal_events,Asia,1000,human,signed,0.0512,0.094,0.5446808510638298,1
temporal_events,Asia,1500,climate,signed,0.0464,0.103,0.45048543689320386,1
temporal_events,Asia,1500,human,signed,0.0569,0.103,0.5524271844660195,1
temporal_events,Asia,2000,climate,signed,0.0543,0.112,0.48482142857142857,1
temporal_events,Asia,2000,human,signed,0.0575,0.112,0.5133928571428572,1
temporal_events,Asia,2500,climate,signed,0.0655,0.107,0.6121495327102804,1
temporal_events,Asia,2500,human,signed,0.0416,0.107,0.38878504672897196,1
temporal_events,Asia,3000,climate,signed,0.0691,0.114,0.6061403508771929,1
temporal_events,Asia,3000,human,signed,0.0451,0.114,0.3956140350877193,1
temporal_events,Asia,3500,climate,signed,0.0837,0.099,0.8454545454545453,1
temporal_events,Asia,3500,human,signed,0.0151,0.099,0.15252525252525254,1
temporal_events,Asia,4000,climate,signed,0.0684,0.079,0.8658227848101266,1
temporal_events,Asia,4000,human,signed,0.0107,0.079,0.13544303797468354,1
temporal_events,Asia,4500,climate,signed,0.0788,0.097,0.8123711340206184,1
temporal_events,Asia,4500,human,signed,0.0178,0.097,0.18350515463917524,1
temporal_events,Asia,5000,climate,signed,0.0758,0.098,0.7734693877551021,1
temporal_events,Asia,5000,human,signed,0.0219,0.098,0.22346938775510203,1
temporal_events,Asia,5500,climate,signed,0.0914,0.104,0.8788461538461538,1
temporal_events,Asia,5500,human,signed,0.0128,0.104,0.12307692307692308,1
temporal_events,Asia,6000,climate,signed,0.0956,0.103,0.9281553398058253,1
temporal_events,Asia,6000,human,signed,0.0071,0.103,0.06893203883495147,1
temporal_events,Asia,6500,climate,signed,0.1073,0.109,0.9844036697247707,1
temporal_events,Asia,6500,human,signed,0.0016,0.109,0.014678899082568808,1
temporal_events,Asia,7000,climate,signed,0.1176,0.12,0.98,1
temporal_events,Asia,7000,human,signed,0.0019,0.12,0.015833333333333335,1
temporal_events,Asia,7500,climate,signed,0.1367,0.145,0.9427586206896551,1
temporal_events,Asia,7500,human,signed,0.008,0.145,0.055172413793103454,1
temporal_events,Asia,8000,climate,signed,0.1571,0.163,0.963803680981595,1
temporal_events,Asia,8000,human,signed,0.0059,0.163,0.03619631901840491,1
temporal_events,Asia,8500,climate,signed,0.1562,0.168,0.9297619047619048,1
temporal_events,Asia,8500,human,signed,0.0114,0.168,0.06785714285714285,1
temporal_events,Europe,500,climate,signed,0.067,0.082,0.8170731707317074,1
temporal_events,Europe,500,human,signed,0.0145,0.082,0.17682926829268292,1
temporal_events,Europe,1000,climate,signed,0.1042,0.124,0.8403225806451613,1
temporal_events,Europe,1000,human,signed,0.0197,0.124,0.1588709677419355,1
