analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Asia,500,climate,zero_truncated,0.0718,0.13640000000000002,0.5263929618768328,1
temporal_events,Asia,500,human,zero_truncated,0.0646,0.13640000000000002,0.4736070381231671,1
temporal_events,Asia,1000,climate,zero_truncated,0.0429,0.0938,0.45735607675906187,1
temporal_events,Asia,1000,human,zero_truncated,0.0509,0.0938,0.5426439232409382,1
temporal_events,Asia,1500,climate,zero_truncated,0.0517,0.1291,0.40046475600309844,1
temporal_events,Asia,1500,human,zero_truncated,0.0774,0.1291,0.5995352439969016,1
temporal_events,Asia,2000,climate,zero_truncated,0.0533,0.1106,0.4819168173598553,1
temporal_events,Asia,2000,human,zero_truncated,0.0573,0.1106,0.5180831826401446,1
temporal_events,Asia,2500,climate,zero_truncated,0.0655,0.1071,0.611577964519141,1
temporal_events,Asia,2500,human,zero_truncated,0.0416,0.1071,0.38842203548085896,1
temporal_events,Asia,3000,climate,zero_truncated,0.0691,0.11349999999999999,0.6088105726872247,1
temporal_events,Asia,3000,human,zero_truncated,0.0444,0.11349999999999999,0.3911894273127754,1
temporal_events,Asia,3500,climate,zero_truncated,0.0893,0.09960000000000001,0.896586345381526,1
temporal_events,Asia,3500,human,zero_truncated,0.0103,0.09960000000000001,0.10341365461847389,1
temporal_events,Asia,4000,climate,zero_truncated,0.0679,0.0955,0.7109947643979058,1
temporal_events,Asia,4000,human,zero_truncated,0.0276,0.0955,0.28900523560209423,1
temporal_events,Asia,4500,climate,zero_truncated,0.0763,0.09330000000000001,0.8177920685959271,1
temporal_events,Asia,4500,human,zero_truncated,0.017,0.09330000000000001,0.18220793140407288,1
temporal_events,Asia,5000,climate,zero_truncated,0.0758,0.09770000000000001,0.7758444216990789,1
temporal_events,Asia,5000,human,zero_truncated,0.0219,0.09770000000000001,0.22415557830092117,1
temporal_events,Asia,5500,climate,zero_truncated,0.0915,0.1041,0.8789625360230547,1
temporal_events,Asia,5500,human,zero_truncated,0.0126,0.1041,0.12103746397694524,1
temporal_events,Asia,6000,climate,zero_truncated,0.0935,0.099,0.9444444444444444,1
temporal_events,Asia,6000,human,zero_truncated,0.0055,0.099,0.05555555555555555,1
temporal_events,Asia,6500,climate,zero_truncated,0.1074,0.1099,0.9772520473157416,1
temporal_events,Asia,6500,human,zero_truncated,0.0025,0.1099,0.02274795268425842,1
temporal_events,Asia,7000,climate,zero_truncated,0.1207,0.13040000000000002,0.9256134969325153,1
temporal_events,Asia,7000,human,zero_truncated,0.0097,0.13040000000000002,0.07438650306748465,1
temporal_events,Asia,7500,climate,zero_truncated,0.1277,0.13490000000000002,0.9466271312083023,1
temporal_events,Asia,7500,human,zero_truncated,0.0072,0.13490000000000002,0.053372868791697545,1
temporal_events,Asia,8000,climate,zero_truncated,0.1574,0.1663,0.9464822609741431,1
temporal_events,Asia,8000,human,zero_truncated,0.0089,0.1663,0.05351773902585688,1
temporal_events,Asia,8500,climate,zero_truncated,0.1602,0.1724,0.9292343387470998,1
temporal_events,Asia,8500,human,zero_truncated,0.0122,0.1724,0.07076566125290024,1
temporal_events,Europe,500,climate,zero_truncated,0.067,0.0815,0.8220858895705522,1
temporal_events,Europe,500,human,zero_truncated,0.0145,0.0815,0.17791411042944785,1
temporal_events,Europe,1000,climate,zero_truncated,0.1067,0.1264,0.8441455696202531,1
temporal_events,Europe,1000,human,zero_truncated,0.0197,0.1264,0.1558544303797468,1
temporal_events,Europe,1500,climate,zero_truncated,0.0939,0.1149,0.8172323759791122,1
temporal_events,Europe,1500,human,zero_truncated,0.021,0.1149,0.18276762402088773,1
temporal_events,Europe,2000,climate,zero_truncated,0.0854,0.108,0.7907407407407407,1
temporal_events,Europe,2000,human,zero_truncated,0.0226,0.108,0.20925925925925926,1
temporal_events,Europe,2500,climate,zero_truncated,0.0711,0.0839,0.8474374255065553,1
temporal_events,Europe,2500,human,zero_truncated,0.0128,0.0839,0.15256257449344457,1
temporal_events,Europe,3000,climate,zero_truncated,0.0612,0.0715,0.855944055944056,1
temporal_events,Europe,3000,human,zero_truncated,0.0103,0.0715,0.14405594405594407,1
temporal_events,Europe,3500,climate,zero_truncated,0.0559,0.0886,0.6309255079006771,1
temporal_events,Europe,3500,human,zero_truncated,0.0327,0.0886,0.3690744920993228,1
temporal_events,Europe,4000,climate,zero_truncated,0.085,0.09140000000000001,0.9299781181619255,1
temporal_events,Europe,4000,human,zero_truncated,0.0064,0.09140000000000001,0.0700218818380744,1
temporal_events,Europe,4500,climate,zero_truncated,0.0849,0.0893,0.9507278835386338,1
temporal_events,Europe,4500,human,zero_truncated,0.0044,0.0893,0.04927211646136618,1
temporal_events,Europe,5000,climate,zero_truncated,0.0702,0.07919999999999999,0.8863636363636365,1
temporal_events,Europe,5000,human,zero_truncated,0.009,0.07919999999999999,0.11363636363636363,1
temporal_events,Europe,5500,climate,zero_truncated,0.086,0.08869999999999999,0.9695603156708005,1
temporal_events,Europe,5500,human,zero_truncated,0.0027,0.08869999999999999,0.030439684329199555,1
temporal_events,Europe,6000,climate,zero_truncated,0.0773,0.1045,0.7397129186602871,1
temporal_events,Europe,6000,human,zero_truncated,0.0272,0.1045,0.2602870813397129,1
temporal_events,Europe,6500,climate,zero_truncated,0.0717,0.0742,0.9663072776280324,1
temporal_events,Europe,6500,human,zero_truncated,0.0025,0.0742,0.03369272237196765,1
temporal_events,Europe,7000,climate,zero_truncated,0.0799,0.1002,0.7974051896207585,1
temporal_events,Europe,7000,human,zero_truncated,0.0203,0.1002,0.2025948103792415,1
temporal_events,Europe,7500,climate,zero_truncated,0.0786,0.10550000000000001,0.7450236966824644,1
temporal_events,Europe,7500,human,zero_truncated,0.0269,0.10550000000000001,0.2549763033175355,1
temporal_events,Europe,8000,climate,zero_truncated,0.0778,0.0867,0.8973471741637831,1
temporal_events,Europe,8000,human,zero_truncated,0.0089,0.0867,0.10265282583621683,1
temporal_events,Europe,8500,climate,zero_truncated,0.074,0.0781,0.9475032010243277,1
temporal_events,Europe,8500,human,zero_truncated,0.0041,0.0781,0.05249679897567222,1
