scenario,threshold,region,climatezone,n_region_climatezone_retained,n_region_climatezone_samples_retained,n_region_climatezone_baseline,n_region_climatezone_samples_baseline,n_region_climatezone_lost,n_region_climatezone_samples_lost,prop_region_climatezone_retained,prop_region_climatezone_lost,prop_region_climatezone_samples_retained,prop_region_climatezone_samples_lost
baseline_25_150,150,Asia,Arid,32,2110,32,2110,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Dry_Summer,8,327,8,327,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Dry_Winter,36,2720,36,2720,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Without_dry_season_Cold_Summer,34,1423,34,1423,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Without_dry_season_Hot_Summer,2,36,2,36,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Without_dry_season_Very_Cold_Summer,3,143,3,143,0,0,1,0,1,0
baseline_25_150,150,Asia,Cold_Without_dry_season_Warm_Summer,19,821,19,821,0,0,1,0,1,0
baseline_25_150,150,Asia,Polar,20,845,20,845,0,0,1,0,1,0
baseline_25_150,150,Asia,Temperate_Dry_Summer,5,189,5,189,0,0,1,0,1,0
baseline_25_150,150,Asia,Temperate_Dry_Winter,9,341,9,341,0,0,1,0,1,0
baseline_25_150,150,Asia,Temperate_Without_dry_season,9,362,9,362,0,0,1,0,1,0
baseline_25_150,150,Asia,Tropical,1,43,1,43,0,0,1,0,1,0
baseline_25_150,150,Europe,Arid,7,458,7,458,0,0,1,0,1,0
baseline_25_150,150,Europe,Cold_Dry_Summer,4,253,4,253,0,0,1,0,1,0
baseline_25_150,150,Europe,Cold_Without_dry_season_Cold_Summer,95,6178,95,6178,0,0,1,0,1,0
baseline_25_150,150,Europe,Cold_Without_dry_season_Warm_Summer,153,13846,153,13846,0,0,1,0,1,0
baseline_25_150,150,Europe,Polar,30,2331,30,2331,0,0,1,0,1,0
baseline_25_150,150,Europe,Temperate_Dry_Summer,15,1395,15,1395,0,0,1,0,1,0
baseline_25_150,150,Europe,Temperate_Without_dry_season,93,9012,93,9012,0,0,1,0,1,0
baseline_25_150,150,Latin America,Arid,6,185,6,185,0,0,1,0,1,0
baseline_25_150,150,Latin America,Cold_Dry_Summer,2,71,2,71,0,0,1,0,1,0
baseline_25_150,150,Latin America,Polar,27,1262,27,1262,0,0,1,0,1,0
baseline_25_150,150,Latin America,Temperate_Dry_Summer,9,583,9,583,0,0,1,0,1,0
baseline_25_150,150,Latin America,Temperate_Dry_Winter,6,278,6,278,0,0,1,0,1,0
baseline_25_150,150,Latin America,Temperate_Without_dry_season,18,594,18,594,0,0,1,0,1,0
baseline_25_150,150,Latin America,Tropical,20,944,20,944,0,0,1,0,1,0
baseline_25_150,150,North America,Arid,17,1209,17,1209,0,0,1,0,1,0
baseline_25_150,150,North America,Cold_Dry_Summer,51,2039,51,2039,0,0,1,0,1,0
baseline_25_150,150,North America,Cold_Without_dry_season_Cold_Summer,142,6394,142,6394,0,0,1,0,1,0
baseline_25_150,150,North America,Cold_Without_dry_season_Hot_Summer,55,3015,55,3015,0,0,1,0,1,0
baseline_25_150,150,North America,Cold_Without_dry_season_Warm_Summer,195,10069,195,10069,0,0,1,0,1,0
baseline_25_150,150,North America,Polar,38,1320,38,1320,0,0,1,0,1,0
baseline_25_150,150,North America,Temperate_Dry_Summer,17,725,17,725,0,0,1,0,1,0
baseline_25_150,150,North America,Temperate_Without_dry_season,42,1587,42,1587,0,0,1,0,1,0
baseline_25_150,150,North America,Tropical,1,73,1,73,0,0,1,0,1,0
baseline_25_150,150,Oceania,Arid,1,52,1,52,0,0,1,0,1,0
