analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Asia,500,climate,signed,0.0718,0.136,0.5279411764705882,1
temporal_events,Asia,500,human,signed,0.0646,0.136,0.475,1
temporal_events,Asia,1000,climate,signed,0.0429,0.094,0.4563829787234043,1
temporal_events,Asia,1000,human,signed,0.0509,0.094,0.5414893617021277,1
temporal_events,Asia,1500,climate,signed,0.0517,0.129,0.4007751937984496,1
temporal_events,Asia,1500,human,signed,0.0774,0.129,0.6,1
temporal_events,Asia,2000,climate,signed,0.0533,0.111,0.48018018018018016,1
temporal_events,Asia,2000,human,signed,0.0573,0.111,0.5162162162162162,1
temporal_events,Asia,2500,climate,signed,0.0655,0.107,0.6121495327102804,1
temporal_events,Asia,2500,human,signed,0.0416,0.107,0.38878504672897196,1
temporal_events,Asia,3000,climate,signed,0.0691,0.113,0.611504424778761,1
temporal_events,Asia,3000,human,signed,0.0444,0.113,0.3929203539823009,1
temporal_events,Asia,3500,climate,signed,0.0893,0.1,0.893,1
temporal_events,Asia,3500,human,signed,0.0103,0.1,0.103,1
temporal_events,Asia,4000,climate,signed,0.0679,0.096,0.7072916666666667,1
temporal_events,Asia,4000,human,signed,0.0276,0.096,0.2875,1
temporal_events,Asia,4500,climate,signed,0.0763,0.093,0.8204301075268818,1
temporal_events,Asia,4500,human,signed,0.017,0.093,0.1827956989247312,1
temporal_events,Asia,5000,climate,signed,0.0758,0.098,0.7734693877551021,1
temporal_events,Asia,5000,human,signed,0.0219,0.098,0.22346938775510203,1
temporal_events,Asia,5500,climate,signed,0.0915,0.104,0.8798076923076923,1
temporal_events,Asia,5500,human,signed,0.0126,0.104,0.12115384615384615,1
temporal_events,Asia,6000,climate,signed,0.0935,0.099,0.9444444444444444,1
temporal_events,Asia,6000,human,signed,0.0055,0.099,0.05555555555555555,1
temporal_events,Asia,6500,climate,signed,0.1074,0.11,0.9763636363636363,1
temporal_events,Asia,6500,human,signed,0.0025,0.11,0.022727272727272728,1
temporal_events,Asia,7000,climate,signed,0.1207,0.13,0.9284615384615384,1
temporal_events,Asia,7000,human,signed,0.0097,0.13,0.07461538461538461,1
temporal_events,Asia,7500,climate,signed,0.1277,0.135,0.945925925925926,1
temporal_events,Asia,7500,human,signed,0.0072,0.135,0.05333333333333333,1
temporal_events,Asia,8000,climate,signed,0.1574,0.166,0.9481927710843374,1
temporal_events,Asia,8000,human,signed,0.0089,0.166,0.0536144578313253,1
temporal_events,Asia,8500,climate,signed,0.1602,0.172,0.9313953488372094,1
temporal_events,Asia,8500,human,signed,0.0122,0.172,0.07093023255813954,1
temporal_events,Europe,500,climate,signed,0.067,0.082,0.8170731707317074,1
temporal_events,Europe,500,human,signed,0.0145,0.082,0.17682926829268292,1
temporal_events,Europe,1000,climate,signed,0.1067,0.126,0.8468253968253968,1
temporal_events,Europe,1000,human,signed,0.0197,0.126,0.15634920634920635,1
