region,climate_zone,long,lat,dataset_id,filter_out,total_variance,human_predictor_unique,human_predictor_avg_share,human_predictor_total,climate_predictor_unique,climate_predictor_avg_share,climate_predictor_total,time_predictor_unique,time_predictor_avg_share,time_predictor_total,human_predictor_unique_percent,human_predictor_avg_share_percent,human_predictor_total_percent,climate_predictor_unique_percent,climate_predictor_avg_share_percent,climate_predictor_total_percent,time_predictor_unique_percent,time_predictor_avg_share_percent,time_predictor_total_percent
Asia,Arid,96.90074,37.27446,14612,FALSE,0.254,0.0246,0.023799999999999998,0.0484,0.086,0.05730000000000002,0.1433,0.045,0.017600000000000005,0.0626,9.68503937007874,9.37007874015748,19.05511811023622,33.85826771653543,22.559055118110244,56.41732283464568,17.716535433070867,6.9291338582677175,24.645669291338585
Asia,Arid,80.466667,50.416667,1845,FALSE,0.566,0,0,0,0.0054,0.2852,0.2906,0,0.28509999999999996,0.2749,0,0,0,0.9540636042402828,50.38869257950531,51.3427561837456,0,50.37102473498233,48.56890459363958
Asia,Arid,75.39858,49.36771,1860,FALSE,0.158,0,0,0,0,0.0934,0.0276,0.0367,0.0933,0.13,0,0,0,0,59.1139240506329,17.468354430379744,23.227848101265824,59.0506329113924,82.27848101265823
Asia,Arid,33.733333,37.5,24175,FALSE,0.559,0,0.0442,0.0351,0,0.2694,0.2278,0.0908,0.20540000000000003,0.2962,0,7.906976744186046,6.27906976744186,0,48.19320214669051,40.75134168157424,16.2432915921288,36.74418604651163,52.98747763864042
Asia,Arid,90.49975,49.48079,3861,FALSE,0.244,0,0.003500000000000003,0,0.0424,0.1464,0.1888,0,0.1454,0.1096,0,1.434426229508198,0,17.37704918032787,60,77.37704918032787,0,59.59016393442623,44.91803278688525
Asia,Arid,88.28455,48.67256,4097,FALSE,0.447,0,0,0,0.0971,0.1376,0.2347,0.0746,0.1377,0.2123,0,0,0,21.72259507829978,30.782997762863534,52.505592841163306,16.68903803131991,30.805369127516773,47.49440715883669
Asia,Arid,30.8,38.425,4137,FALSE,0.174,0.0236,0.0299,0.0535,0,0.17,0.0193,0,0.14300000000000002,0.1015,13.563218390804598,17.183908045977013,30.747126436781613,0,97.70114942528737,11.091954022988507,0,82.18390804597703,58.333333333333336
Asia,Arid,64.25,53.766667,46523,FALSE,0.463,0,0,0,0.1386,0.06129999999999999,0.1999,0.2021,0.06130000000000002,0.2634,0,0,0,29.93520518358531,13.239740820734339,43.17494600431965,43.650107991360684,13.239740820734344,56.88984881209503
Asia,Arid,81.03134,44.97373,47817,FALSE,0.386,0.0756,0.014200000000000004,0.0898,0.1345,0.05249999999999999,0.187,0.0013,0.1075,0.1088,19.585492227979273,3.6787564766839385,23.264248704663213,34.84455958549223,13.60103626943005,48.44559585492228,0.33678756476683935,27.849740932642487,28.186528497409324
Asia,Arid,78.32333,32.92944,PANGAEA.808952,FALSE,0.24,0,0,0,0.0308,0.1069,0.1377,0,0.10690000000000001,0.1024,0,0,0,12.833333333333336,44.54166666666667,57.375,0,44.54166666666667,42.66666666666667
Asia,Arid,84.38194,43.04583,PANGAEA.884462,FALSE,0.385,0,0.0385,0.0064,0.175,0.09300000000000003,0.268,0.0331,0.07750000000000001,0.1106,0,10,1.6623376623376624,45.45454545454545,24.15584415584416,69.61038961038962,8.597402597402597,20.129870129870135,28.72727272727273
Asia,Arid,86.804,41.931,PANGAEA.896256,FALSE,0.337,0,0.0779,0.0521,0,0.1251,0.0773,0.0785,0.12919999999999998,0.2077,0,23.115727002967358,15.45994065281899,0,37.12166172106824,22.93768545994065,23.293768545994066,38.338278931750736,61.6320474777448
Asia,Arid,92.8,43.62,PVT_Barkol_Lake,TRUE,-0.094,0,0.0432,0,0,0.095,0,0,0.079,0.0172,-0,-45.95744680851064,-0,-0,-101.06382978723406,-0,-0,-84.04255319148936,-18.29787234042553
Asia,Arid,87.78,43.55,PVT_Chaiwopu_Lake,FALSE,0.292,0.1808,0,0.1757,0,0.1131,0.0234,0.0238,0.0691,0.0929,61.917808219178085,0,60.17123287671233,0,38.732876712328775,8.013698630136986,8.15068493150685,23.664383561643834,31.815068493150683
Asia,Arid,95.5,37.1,PVT_Dabsan_Lake,FALSE,0.2,0,0.0392,0,0,0.1155,0.1048,0.0018,0.10500000000000001,0.1068,0,19.599999999999998,0,0,57.75,52.400000000000006,0.8999999999999999,52.5,53.400000000000006
Asia,Arid,112.67,40.58,PVT_Daihai_Lake_2004,FALSE,0.341,0,0.0185,0.003,0.156,0.05660000000000001,0.2126,0.0491,0.0761,0.1252,0,5.425219941348973,0.879765395894428,45.74780058651026,16.598240469208214,62.34604105571847,14.39882697947214,22.31671554252199,36.71554252199413
Asia,Arid,100.41,36.25,PVT_Dalianhai_Lake,TRUE,0.029,0.0081,0.009000000000000001,0.0171,0,0.0399,0,0,0.049,0.0214,27.931034482758616,31.03448275862069,58.9655172413793,0,137.5862068965517,0,0,168.9655172413793,73.79310344827586
Asia,Arid,88.2,47.83,PVT_Daluoba_basin,TRUE,-0.144,0,0.0305,0,0,0.07169999999999999,0,0,0.0706,0.018,-0,-21.180555555555557,-0,-0,-49.791666666666664,-0,-0,-49.02777777777778,-12.5
Asia,Arid,88.3,48.67,PVT_Hoton_Nur_2,FALSE,0.313,0,0,0,0.0759,0.11450000000000002,0.1904,0.0077,0.11460000000000001,0.1223,0,0,0,24.249201277955272,36.581469648562305,60.83067092651757,2.460063897763578,36.61341853035144,39.07348242811502
Asia,Arid,90.25,40.33,PVT_Lop_Nur_Luo4,FALSE,0.157,0,0.1016,0.0436,0,0.1542,0.0252,0,0.1496,0.0884,0,64.71337579617834,27.770700636942674,0,98.21656050955414,16.050955414012737,0,95.28662420382166,56.30573248407643
Asia,Arid,85.92,45.83,PVT_Manas_Lake_LM1,FALSE,0.165,0,0.0283,0.0069,0.0926,0.006699999999999998,0.0993,0.0673,0,0.0587,0,17.151515151515152,4.181818181818182,56.12121212121212,4.060606060606059,60.18181818181818,40.78787878787878,0,35.57575757575758
Asia,Arid,109.5,39.5,PVT_Qigai_Nuur,FALSE,0.564,0,0.049999999999999996,0.0401,0.0849,0.20059999999999997,0.2855,0.041,0.1976,0.2386,0,8.865248226950355,7.109929078014185,15.053191489361703,35.56737588652482,50.62056737588653,7.269503546099291,35.0354609929078,42.304964539007095
Asia,Arid,103.34,39.01,PVT_Sanjiaocheng_Section,FALSE,0.305,0.1582,0,0.0835,0.2749,0,0.2126,0.0328,0,0.0089,51.8688524590164,0,27.377049180327873,90.1311475409836,0,69.70491803278689,10.754098360655739,0,2.9180327868852456
Asia,Arid,80.24,34.61,PVT_Sumxi_Lake,FALSE,0.112,0,0,0,0.0595,0.0295,0.089,0,0.0296,0.0229,0,0,0,53.125,26.339285714285715,79.46428571428571,0,26.42857142857143,20.44642857142857
Asia,Arid,87.29,47.22,PVT_Wulungu_Lake,FALSE,0.56,0.2142,0,0.13,0.1083,0.0671,0.1754,0.1873,0.06700000000000003,0.2543,38.24999999999999,0,23.21428571428571,19.33928571428571,11.982142857142858,31.321428571428566,33.44642857142857,11.964285714285719,45.410714285714285
Asia,Arid,102.6,49.9,PVT_Yamant_Nur_Lake,FALSE,0.198,0,0.0287,0.014,0,0.1387,0.0707,0,0.1253,0.1138,0,14.494949494949495,7.07070707070707,0,70.05050505050504,35.707070707070706,0,63.28282828282828,57.47474747474747
Asia,Arid,84.65,35.43,PVT_Yanghu_Lake,FALSE,0.358,0,0,0,0.1137,0.12010000000000001,0.2338,0.0037,0.1201,0.1238,0,0,0,31.75977653631285,33.54748603351956,65.3072625698324,1.0335195530726258,33.547486033519554,34.58100558659218
