region,climate_zone,filter_out,truncated,total_variance,human_predictor_unique,human_predictor_avg_share,human_predictor_total,climate_predictor_unique,climate_predictor_avg_share,climate_predictor_total,time_predictor_unique,time_predictor_avg_share,time_predictor_total,human_predictor_unique_percent,human_predictor_avg_share_percent,human_predictor_total_percent,climate_predictor_unique_percent,climate_predictor_avg_share_percent,climate_predictor_total_percent,time_predictor_unique_percent,time_predictor_avg_share_percent,time_predictor_total_percent
Asia,Arid,FALSE,FALSE,0.275,0.1426,0,0.0705,0.1393,0,0.1392,0.0632,0.002599999999999991,0.0658,51.85454545454545,0,25.63636363636363,50.65454545454545,0,50.61818181818181,22.98181818181818,0.9454545454545422,23.927272727272726
Asia,Cold_Dry_Summer,FALSE,FALSE,0.604,0.163,0,0.1132,0.26,0.05469999999999997,0.3147,0.1049,0.0711,0.176,26.98675496688742,0,18.741721854304636,43.046357615894046,9.056291390728473,52.102649006622514,17.367549668874172,11.771523178807946,29.13907284768212
Asia,Cold_Dry_Winter,FALSE,FALSE,0.403,0.0519,0.0591,0.111,0.258,0,0.2246,0.0215,0.046400000000000004,0.0679,12.878411910669973,14.66501240694789,27.543424317617866,64.0198511166253,0,55.732009925558316,5.334987593052108,11.513647642679901,16.848635235732008
Asia,Cold_Without_dry_season_Cold_Summer,FALSE,FALSE,0.237,0,0.0152,0,0.0974,0.06730000000000001,0.1647,0.0049,0.0685,0.0734,0,6.413502109704641,0,41.09704641350211,28.396624472573844,69.49367088607595,2.067510548523207,28.902953586497894,30.970464135021103
Asia,Cold_Without_dry_season_Hot_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asia,Cold_Without_dry_season_Very_Cold_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asia,Cold_Without_dry_season_Warm_Summer,FALSE,FALSE,0.197,0.0636,0.015799999999999995,0.0794,0.1429,0,0.0895,0.0121,0.016300000000000002,0.0284,32.28426395939086,8.020304568527916,40.304568527918775,72.53807106598984,0,45.431472081218274,6.1421319796954315,8.274111675126903,14.416243654822336
Asia,Polar,FALSE,FALSE,0.302,0,0.1036,0.057,0.0137,0.1426,0.1563,0,0.10540000000000001,0.0889,0,34.3046357615894,18.874172185430467,4.536423841059603,47.21854304635762,51.75496688741722,0,34.90066225165563,29.437086092715237
Asia,Temperate_Dry_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asia,Temperate_Dry_Winter,FALSE,FALSE,0.456,0,0.0814,0.0635,0.24,0.09450000000000003,0.3345,0,0.0583,0.0583,0,17.850877192982455,13.925438596491228,52.63157894736842,20.723684210526322,73.35526315789474,0,12.785087719298243,12.785087719298243
